2020-04-16 15:05:57.496 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2020-04-16 15:05:57.896 INFO  com.jackie.replace.ReplaceApplicationTests Started ReplaceApplicationTests in 2.283 seconds (JVM running for 3.422)
2020-04-16 15:05:58.227 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-16 15:06:14.692 INFO  com.jackie.replace.ReplaceApplication Starting ReplaceApplication on DESKTOP-JQ1HOMA with PID 27748 (E:\replace_azure_config\target\classes started by Administrator in E:\replace_azure_config)
2020-04-16 15:06:14.696 INFO  com.jackie.replace.ReplaceApplication No active profile set, falling back to default profiles: default
2020-04-16 15:06:16.025 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 8088 (http)
2020-04-16 15:06:16.033 INFO  org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-8088"]
2020-04-16 15:06:16.034 INFO  org.apache.catalina.core.StandardService Starting service [Tomcat]
2020-04-16 15:06:16.034 INFO  org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-16 15:06:16.186 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2020-04-16 15:06:16.186 INFO  org.springframework.web.context.ContextLoader Root WebApplicationContext: initialization completed in 1420 ms
2020-04-16 15:06:16.435 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2020-04-16 15:06:16.586 INFO  org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-8088"]
2020-04-16 15:06:16.610 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 8088 (http) with context path ''
2020-04-16 15:06:16.614 INFO  com.jackie.replace.ReplaceApplication Started ReplaceApplication in 2.751 seconds (JVM running for 5.068)
2020-04-16 15:23:47.682 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-16 15:23:47.683 INFO  org.springframework.web.servlet.DispatcherServlet Initializing Servlet 'dispatcherServlet'
2020-04-16 15:23:47.690 INFO  org.springframework.web.servlet.DispatcherServlet Completed initialization in 7 ms
2020-04-16 15:23:51.573 INFO  com.microsoft.aad.adal4j.AuthenticationAuthority [Correlation ID: 74d5a0d7-1765-4b25-85bb-61e32e140a83] Instance discovery was successful
2020-04-16 15:23:52.099 INFO  com.microsoft.azure.management.appservice.WebApps getByResourceGroup --> GET https://management.chinacloudapi.cn/subscriptions/c06e76a4-c22b-456a-9026-cd0e802daad1/resourceGroups/free/providers/Microsoft.Web/sites/wise-basic-service?api-version=2019-08-01
2020-04-16 15:23:52.140 INFO  com.microsoft.azure.management.appservice.WebApps getByResourceGroup <-- 404 Not Found https://management.chinacloudapi.cn/subscriptions/c06e76a4-c22b-456a-9026-cd0e802daad1/resourceGroups/free/providers/Microsoft.Web/sites/wise-basic-service?api-version=2019-08-01 (40 ms, 96-byte body)
2020-04-16 16:18:55.932 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor'
